inclusion	directory	name	phenotype	sex	file	suffix	bgzip	gzip	type	fill_observations	observations	fill_case_control	cases	controls	prevalence_sample	prevalence_population	script	note
1	34822396_pott_2021	34822396_pott_2021_androstenedione_female	androstenedione	female	SummaryStatistics_Androstenedione_females_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_androstenedione_male	androstenedione	male	SummaryStatistics_Androstenedione_males_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_testosterone_estradiol_all	testosterone_estradiol	all	SummaryStatistics_Testosterone_Estradiol_Ratio_combined_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_testosterone_estradiol_female	testosterone_estradiol	female	SummaryStatistics_Testosterone_Estradiol_Ratio_females_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_testosterone_estradiol_male	testosterone_estradiol	male	SummaryStatistics_Testosterone_Estradiol_Ratio_males_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34662886_backman_2021	34662886_backman_2021_albumin	albumin	all	GCST90079012_buildGRCh38.tsv.gz	.tsv.gz	0	0	linear	1	378401	0	NA	NA	NA	NA	translate_gwas_34662886_backman_2021.sh	.
1	34594039_sakaue_2021	34594039_sakaue_2021_hypothyroidism	hypothyroidism	all	GCST90018862_buildGRCh37.tsv.gz	.tsv.gz	0	0	logistic	1	583911	1	31269	552642	0.054	0.117	translate_gwas_34594039_sakaue_2021.sh	.
1	34594039_sakaue_2021	34594039_sakaue_2021_hyperthyroidism	hyperthyroidism	all	GCST90018860_buildGRCh37.tsv.gz	.tsv.gz	0	0	logistic	1	634149	1	4551	629598	0.007	0.034	translate_gwas_34594039_sakaue_2021.sh	.
1	34594039_sakaue_2021	34594039_sakaue_2021_hashimoto	hashimoto_thyroiditis	all	GCST90018855_buildGRCh37.tsv.gz	.tsv.gz	0	0	logistic	1	568833	1	16191	552642	0.028	0.075	translate_gwas_34594039_sakaue_2021.sh	.
1	34594039_sakaue_2021	34594039_sakaue_2021_graves	graves_disease	all	GCST90018847_buildGRCh37.tsv.gz	.tsv.gz	0	0	logistic	1	634085	1	4487	629598	0.007	0.020	translate_gwas_34594039_sakaue_2021.sh	.
1	34255042_schmitz_2021	34255042_schmitz_2021_estradiol_female	estradiol	female	gwas_females.tsv.gz	.tsv.gz	0	0	logistic	0	163985	1	37461	126524	0.296	0.296	translate_gwas_34255042_schmitz_2021.sh	assume_equal_prevalence_sample_population
1	34255042_schmitz_2021	34255042_schmitz_2021_estradiol_male	estradiol	male	gwas_males.tsv.gz	.tsv.gz	0	0	logistic	0	147690	1	13367	134323	0.100	0.100	translate_gwas_34255042_schmitz_2021.sh	assume_equal_prevalence_sample_population
1	34226706_barton_2021	34226706_barton_2021_albumin	albumin	all	GCST90025992_buildGRCh37.tsv	.tsv	0	1	linear	1	400938	0	NA	NA	NA	NA	translate_gwas_34226706_barton_2021.sh	.
1	34017140_mbatchou_2021	34017140_mbatchou_2021_albumin	albumin	all	GCST90013990_buildGRCh38.tsv.gz	.tsv.gz	0	0	linear	1	357968	0	NA	NA	NA	NA	translate_gwas_34017140_mbatchou_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_testosterone_primary_female	testosterone_primary	female	ORIG_RAW_Testosterone_female.sumstats.tsv.gz	.tsv.gz	0	0	linear	0	142778	0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_testosterone_secondary_female	testosterone_secondary	female	free_androgen_phenotypes.female.Testosterone.glm.linear.gz	.gz	0	0	linear	0		0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_testosterone_primary_male	testosterone_primary	male	ORIG_RAW_Testosterone_male.sumstats.tsv.gz	.tsv.gz	0	0	linear	0	146339	0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_testosterone_secondary_male	testosterone_secondary	male	free_androgen_phenotypes.male.Testosterone.glm.linear.gz	.gz	0	0	linear	0		0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_testosterone_bioavailable_female	testosterone_bioavailable	female	free_androgen_phenotypes.female.CBAT.glm.linear.gz	.gz	0	0	linear	0		0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_testosterone_bioavailable_male	testosterone_bioavailable	male	free_androgen_phenotypes.male.CBAT.glm.linear.gz	.gz	0	0	linear	0		0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_lutropin	lutropin	all	lh1_all.log.glm.filtered.maf01.info07.tsv.gz	.tsv.gz	0	0	linear	0		0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_shbg_female	shbg_female	female	free_androgen_phenotypes.female.SHBG.glm.linear.gz	.gz	0	0	linear	0		0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33587031_sinnott-armstrong_2021	33587031_sinnott-armstrong_2021_shbg_male	shbg_male	male	free_androgen_phenotypes.male.SHBG.glm.linear.gz	.gz	0	0	linear	0		0	NA	NA	NA	NA	translate_gwas_33587031_sinnott-armstrong_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_hemoglobin_glycation	hemoglobin_glycation_hba1c	all	GCST90012673_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	21558	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_cortisol	cortisol	all	GCST90012635_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	6342	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_c_reactive_protein	c_reactive_protein	all	GCST90012640_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	20008	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_complement_c3	complement_c3	all	GCST90012620_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	3672	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_complement_c4	complement_c4	all	GCST90012621_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	3667	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_vitamin_d	vitamin_d	all	GCST90012641_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	18315	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_follitropin	follitropin_fsh	all	GCST90012661_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	3484	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_lutropin	lutropin_lh	all	GCST90012687_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	2133	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_thyroxine_total	thyroxine_total_t4	all	GCST90012759_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	4023	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_thyroxine_free	thyroxine_free_ft4	all	GCST90012662_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	26231	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	33441150_dennis_2021	33441150_dennis_2021_parathyrin	parathyrin_pth	all	GCST90012708_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	6708	0	NA	NA	NA	NA	translate_gwas_33441150_dennis_2021.sh	.
1	32769997_zhou_2020	32769997_zhou_2020_thyroid_hormone	thyroid_stimulating_hormone_tsh	all	2020_Zhou_et_al_TSH_meta_HUNT-MGI-ThyroidOmics.txt	.txt	0	1	linear	0	119715	0	NA	NA	NA	NA	translate_gwas_32769997_zhou_2020.sh	.
1	32581359_saevarsdottir_2020	32581359_saevarsdottir_2020_thyroid_autoimmunity	autoimmune_thyroid_disease_aitd	all	AITD2020.gz	.gz	0	0	logistic	1	755406	1	30234	725172	0.040	0.070	translate_gwas_32581359_saevarsdottir_2020.sh	.
1	32242144_revez_2020	32242144_revez_2020_vitamin_d	vitamin_d	all	GCST90000618_buildGRCh37.tsv	.tsv	0	1	linear	0	496946	0	NA	NA	NA	NA	translate_gwas_32242144_revez_2020.sh	.
1	32059762_manousaki_2020	32059762_manousaki_2020_vitamin_d	vitamin_d	all	GCST010144_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	0	443734	0	NA	NA	NA	NA	translate_gwas_32059762_manousaki_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_testosterone_female	testosterone_female	female	GCST90012112_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	230454	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_testosterone_male	testosterone_male	male	GCST90012113_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	194453	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_testosterone_bioavailable_female	testosterone_bioavailable_female	female	GCST90012102_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	188507	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_testosterone_bioavailable_male	testosterone_bioavailable_male	male	GCST90012103_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	178782	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_estradiol_male	estradiol_male	male	GCST90012105_buildGRCh37.tsv.gz	.tsv.gz	0	0	logistic	1	206927	1	16554	190373	0.087	0.087	translate_gwas_32042192_ruth_2020.sh	estimate_cases_and_controls_by_factor_of_0.08;assume_equal_prevalence_sample_population
1	32042192_ruth_2020	32042192_ruth_2020_shbg_all	shbg_all	all	GCST90012111_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	370125	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_shbg_female	shbg_female	female	GCST90012107_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	189473	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_shbg_male	shbg_male	male	GCST90012109_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	180726	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_shbg_bmi_all	shbg_bmi_all	all	GCST90012110_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	368929	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_shbg_bmi_female	shbg_bmi_female	female	GCST90012106_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	188908	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	32042192_ruth_2020	32042192_ruth_2020_shbg_bmi_male	shbg_bmi_male	male	GCST90012108_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	180094	0	NA	NA	NA	NA	translate_gwas_32042192_ruth_2020.sh	.
1	31169883_pott_2019	31169883_pott_2019_progesterone_all	progesterone	all	SummaryStatistics_PROG_ALL_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_progesterone_female	progesterone	female	SummaryStatistics_PROG_WOMEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_progesterone_male	progesterone	male	SummaryStatistics_PROG_MEN_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_hydroxyprogesterone_all	hydroxyprogesterone	all	SummaryStatistics_OHP17_ALL_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_hydroxyprogesterone_female	hydroxyprogesterone	female	SummaryStatistics_OHP17_WOMEN_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_hydroxyprogesterone_male	hydroxyprogesterone	male	SummaryStatistics_OHP17_MEN_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_aldosterone_all	aldosterone	all	SummaryStatistics_ALDO_ALL_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_aldosterone_female	aldosterone	female	SummaryStatistics_ALDO_WOMEN_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_aldosterone_male	aldosterone	male	SummaryStatistics_ALDO_MEN_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_cortisol_all	cortisol	all	SummaryStatistics_CORT_ALL_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_cortisol_female	cortisol	female	SummaryStatistics_CORT_WOMEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_cortisol_male	cortisol	male	SummaryStatistics_CORT_MEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_dheas_all	dehydroepiandrosterone_sulfate	all	SummaryStatistics_DHEAS_ALL_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_dheas_female	dehydroepiandrosterone_sulfate	female	SummaryStatistics_DHEAS_WOMEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_dheas_male	dehydroepiandrosterone_sulfate	male	SummaryStatistics_DHEAS_MEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_androstenedione_all	androstenedione	all	SummaryStatistics_ANDRO_ALL_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_androstenedione_female	androstenedione	female	SummaryStatistics_ANDRO_WOMEN_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_androstenedione_male	androstenedione	male	SummaryStatistics_ANDRO_MEN_GWAS_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_testosterone_all	testosterone	all	SummaryStatistics_TESTO_ALL_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_testosterone_female	testosterone	female	SummaryStatistics_TESTO_WOMEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_testosterone_male	testosterone	male	SummaryStatistics_TESTO_MEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_estradiol_all	estradiol	all	SummaryStatistics_E2_ALL_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_estradiol_female	estradiol	female	SummaryStatistics_E2_WOMEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	31169883_pott_2019	31169883_pott_2019_estradiol_male	estradiol	male	SummaryStatistics_E2_MEN_META_191025.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_31169883_pott_2019.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_thyroid_hormone_all	thyroid_stimulating_hormone_tsh	all	formatted_invnormTSH_overall_150611_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	linear	0	54288	0	NA	NA	NA	NA	translate_gwas_30367059_teumer_2018.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_thyroid_hormone_female	thyroid_stimulating_hormone_tsh	female	formatted_invnormTSH_women_150611_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	linear	0	30236	0	NA	NA	NA	NA	translate_gwas_30367059_teumer_2018.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_thyroid_hormone_male	thyroid_stimulating_hormone_tsh	male	formatted_invnormTSH_men_150611_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	linear	0	24618	0	NA	NA	NA	NA	translate_gwas_30367059_teumer_2018.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_thyroxine_free_all	thyroxine_free_ft4	all	formatted_invnormFT4_overall_150611_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	linear	0	49269	0	NA	NA	NA	NA	translate_gwas_30367059_teumer_2018.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_thyroxine_free_female	thyroxine_free_ft4	female	formatted_invnormFT4_women_150611_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	linear	0	27380	0	NA	NA	NA	NA	translate_gwas_30367059_teumer_2018.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_thyroxine_free_male	thyroxine_free_ft4	male	formatted_invnormFT4_men_150611_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	linear	0	22455	0	NA	NA	NA	NA	translate_gwas_30367059_teumer_2018.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_hypothyroidism	hypothyroidism	all	formatted_incTSH_overall_150602_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	logistic	0	53423	1	3440	49983	0.064	0.117	translate_gwas_30367059_teumer_2018.sh	.
1	30367059_teumer_2018	30367059_teumer_2018_hyperthyroidism	hyperthyroidism	all	formatted_decTSH_overall_150602_invvar1.txt-QCfiltered_GC.txt.gz	.txt.gz	0	0	logistic	0	51823	1	1840	49983	0.036	0.034	translate_gwas_30367059_teumer_2018.sh	.
1	29875488_sun_2018	29875488_sun_2018_complement_c4	complement_c4	all	GCST90240770_GRCh37.tsv.gz	.tsv.gz	0	0	linear	1	3301	0	NA	NA	NA	NA	translate_gwas_29875488_sun_2018.sh	.
1	29875488_sun_2018	29875488_sun_2018_follitropin	follitropin_fsh	all	GCST90241193_GRCh37.tsv.gz	.tsv.gz	0	0	linear	1	3301	0	NA	NA	NA	NA	translate_gwas_29875488_sun_2018.sh	.
1	29875488_sun_2018	29875488_sun_2018_follistatin	follistatin	all	GCST90241194_GRCh37.tsv.gz	.tsv.gz	0	0	linear	1	3301	0	NA	NA	NA	NA	translate_gwas_29875488_sun_2018.sh	.
1	29875488_sun_2018	29875488_sun_2018_lutropin	lutropin_lh	all	GCST90241825_GRCh37.tsv.gz	.tsv.gz	0	0	linear	1	3301	0	NA	NA	NA	NA	translate_gwas_29875488_sun_2018.sh	.
1	29875488_sun_2018	29875488_sun_2018_lutropin_beta	lutropin_beta_lhb	all	GCST90241826_GRCh37.tsv.gz	.tsv.gz	0	0	linear	1	3301	0	NA	NA	NA	NA	translate_gwas_29875488_sun_2018.sh	.
1	29875488_sun_2018	29875488_sun_2018_parathyrin	parathyrin_pth	all	GCST90242201_GRCh37.tsv.gz	.tsv.gz	0	0	linear	1	3301	0	NA	NA	NA	NA	translate_gwas_29875488_sun_2018.sh	.
1	29875488_sun_2018	29875488_sun_2018_thyroid_peroxidase	thyroid_peroxidase	all	GCST90243019_GRCh37.tsv.gz	.tsv.gz	0	0	linear	1	3301	0	NA	NA	NA	NA	translate_gwas_29875488_sun_2018.sh	.
1	24586183_medici_2014	24586183_medici_2014_thyroid_peroxidase_antibody	thyroid_peroxidase_antibody	all	TPOabGWAS_2014-linear.txt.gz	.txt.gz	0	0	linear	0	12353	0	NA	NA	NA	NA	translate_gwas_24586183_medici_2014.sh	.
1	24586183_medici_2014	24586183_medici_2014_thyroid_peroxidase_reactivity	thyroid_peroxidase_antibody_reactivity	all	TPOabGWAS_2014-casecontrol.txt.gz	.txt.gz	0	0	logistic	0	18297	1	1769	16528	0.097	0.391	translate_gwas_24586183_medici_2014.sh	.
1	00000000_neale_2020	00000000_neale_2020_hypothyroidism_self	hypothyroidism	all	categorical-20002-both_sexes-1226.tsv.bgz	.tsv.bgz	1	1	logistic	1	435946	1	21241	414705	0.049	0.117	translate_gwas_00000000_neale_2020_logistic_hq.sh	.
1	00000000_neale_2020	00000000_neale_2020_hypothyroidism_icd	hypothyroidism	all	icd10-E03-both_sexes.tsv.bgz	.tsv.bgz	1	1	logistic	1	438752	1	18276	420476	0.042	0.117	translate_gwas_00000000_neale_2020_logistic.sh	.
1	00000000_neale_2020	00000000_neale_2020_hyperthyroidism_self	hyperthyroidism	all	categorical-20002-both_sexes-1225.tsv.bgz	.tsv.bgz	1	1	logistic	1	435946	1	3331	432615	0.008	0.034	translate_gwas_00000000_neale_2020_logistic.sh	.
